Date,Item Code,Description,Volume ,Value
1/2/2020,100100,A,,9/26/1902
1/3/2020,100101,B,200,6/22/1905
1/4/2020,100102,C,300,3/18/1908
1/5/2020,100103,D,400,12/13/1910
1/6/2020,100104,E,500,9/8/1913
1/7/2020,100105,F,600,6/4/1916
1/8/2020,100106,G,700,3/1/1919
1/9/2020,100107,H,800,11/25/1921
1/10/2020,100108,I,900,8/21/1924
1/11/2020,100109,J,1000,5/18/1927
1/12/2020,100110,A,1100,9/26/1902
1/13/2020,100101,B,1200,6/22/1905
1/14/2020,100103,C,1300,3/18/1908
1/15/2020,100107,D,1400,12/13/1910
1/16/2020,100107,E,1500,9/8/1913
1/17/2020,100110,F,,6/4/1916
1/18/2020,100100,G,1700,3/1/1919
1/19/2020,100104,H,1800,11/25/1921
1/20/2020,100110,I,1900,8/21/1924
1/21/2020,100109,J,2000,5/18/1927
1/22/2020,100102,A,2100,9/26/1902
1/23/2020,100100,B,2200,6/22/1905
1/24/2020,100104,C,,3/18/1908
1/25/2020,100109,D,2400,12/13/1910
1/26/2020,100110,E,2500,9/8/1913
1/27/2020,100108,F,2600,6/4/1916
1/28/2020,100108,G,2700,3/1/1919
1/29/2020,100101,H,2800,11/25/1921
1/30/2020,100101,I,2900,8/21/1924
1/31/2020,100104,J,3000,
2/1/2020,100108,A,3100,9/26/1902
2/2/2020,100107,B,3200,6/22/1905
2/3/2020,100100,C,3300,3/18/1908
2/4/2020,100106,D,3400,12/13/1910
2/5/2020,100105,E,3500,9/8/1913
2/6/2020,100101,F,3600,6/4/1916
2/7/2020,100103,G,3700,
2/8/2020,100107,H,3800,11/25/1921
2/9/2020,100108,I,3900,8/21/1924
2/10/2020,100102,J,4000,5/18/1927
2/11/2020,100110,A,4100,9/26/1902
2/12/2020,100109,B,4200,6/22/1905
2/13/2020,100101,C,4300,3/18/1908
2/14/2020,100105,D,4400,12/13/1910
2/15/2020,100104,E,4500,9/8/1913
2/16/2020,100104,F,4600,
2/17/2020,100109,G,4700,3/1/1919
2/18/2020,100101,H,4800,11/25/1921
2/19/2020,100104,I,4900,8/21/1924
2/20/2020,100106,J,5000,5/18/1927
2/21/2020,100100,A,5100,2/11/1930
2/22/2020,100100,B,5200,11/7/1932
