"Point","lat","lon","lat.1","lon.1","Location","des","latlon.x","latlon.y"
"1",6.86489963531494,79.8598175048828,6.86486959457397,79.8596496582031,1,2,"6.86489963531494+79.8598175048828","6.86486959457397+79.8596496582031"
"1",6.86486959457397,79.8596496582031,6.86439990997314,79.8597793579102,2,3,"6.86486959457397+79.8596496582031","6.86439990997314+79.8597793579102"
"1",6.86439990997314,79.8597793579102,6.86408996582031,79.8598556518555,3,4,"6.86439990997314+79.8597793579102","6.86408996582031+79.8598556518555"
"1",6.86408996582031,79.8598556518555,6.86381959915161,79.8599166870117,4,5,"6.86408996582031+79.8598556518555","6.86381959915161+79.8599166870117"
"1",6.86381959915161,79.8599166870117,6.86347961425781,79.8599548339844,5,6,"6.86381959915161+79.8599166870117","6.86347961425781+79.8599548339844"
"1",6.86347961425781,79.8599548339844,6.8628396987915,79.8600082397461,6,7,"6.86347961425781+79.8599548339844","6.8628396987915+79.8600082397461"
"1",6.8628396987915,79.8600082397461,6.86281967163086,79.8600692749023,7,8,"6.8628396987915+79.8600082397461","6.86281967163086+79.8600692749023"
"1",6.86281967163086,79.8600692749023,6.86276960372925,79.8601684570312,8,9,"6.86281967163086+79.8600692749023","6.86276960372925+79.8601684570312"
"1",6.86276960372925,79.8601684570312,6.86275959014893,79.8608016967773,9,10,"6.86276960372925+79.8601684570312","6.86275959014893+79.8608016967773"
"1",6.86275959014893,79.8608016967773,6.86265993118286,79.8612594604492,10,11,"6.86275959014893+79.8608016967773","6.86265993118286+79.8612594604492"
"1",6.86265993118286,79.8612594604492,6.86258983612061,79.8619079589844,11,12,"6.86265993118286+79.8612594604492","6.86258983612061+79.8619079589844"
"1",6.86258983612061,79.8619079589844,6.86259984970093,79.8621978759766,12,13,"6.86258983612061+79.8619079589844","6.86259984970093+79.8621978759766"
"1",6.86259984970093,79.8621978759766,6.86261987686157,79.8622207641602,13,14,"6.86259984970093+79.8621978759766","6.86261987686157+79.8622207641602"
"1",6.86261987686157,79.8622207641602,6.86282968521118,79.8622055053711,14,15,"6.86261987686157+79.8622207641602","6.86282968521118+79.8622055053711"
"1",6.86282968521118,79.8622055053711,6.86281967163086,79.8620071411133,15,16,"6.86282968521118+79.8622055053711","6.86281967163086+79.8620071411133"
"1",6.86281967163086,79.8620071411133,6.86281967163086,79.8620071411133,16,17,"6.86281967163086+79.8620071411133","6.86281967163086+79.8620071411133"
"2",6.86281967163086,79.8620071411133,6.86281967163086,79.8621597290039,17,18,"6.86281967163086+79.8620071411133","6.86281967163086+79.8621597290039"
"2",6.86281967163086,79.8621597290039,6.86282968521118,79.8622055053711,18,19,"6.86281967163086+79.8621597290039","6.86282968521118+79.8622055053711"
"2",6.86282968521118,79.8622055053711,6.8632698059082,79.8621368408203,19,20,"6.86282968521118+79.8622055053711","6.8632698059082+79.8621368408203"
"2",6.8632698059082,79.8621368408203,6.86337995529175,79.8621368408203,20,21,"6.8632698059082+79.8621368408203","6.86337995529175+79.8621368408203"
"2",6.86337995529175,79.8621368408203,6.86344003677368,79.8621673583984,21,22,"6.86337995529175+79.8621368408203","6.86344003677368+79.8621673583984"
"2",6.86344003677368,79.8621673583984,6.86346960067749,79.8622055053711,22,23,"6.86344003677368+79.8621673583984","6.86346960067749+79.8622055053711"
"2",6.86346960067749,79.8622055053711,6.86381959915161,79.8621215820312,23,24,"6.86346960067749+79.8622055053711","6.86381959915161+79.8621215820312"
"2",6.86381959915161,79.8621215820312,6.86492967605591,79.8618698120117,24,25,"6.86381959915161+79.8621215820312","6.86492967605591+79.8618698120117"
"2",6.86492967605591,79.8618698120117,6.86522960662842,79.8631896972656,25,26,"6.86492967605591+79.8618698120117","6.86522960662842+79.8631896972656"
"2",6.86522960662842,79.8631896972656,6.86596965789795,79.8630065917969,26,27,"6.86522960662842+79.8631896972656","6.86596965789795+79.8630065917969"
"2",6.86596965789795,79.8630065917969,6.86580991744995,79.8621978759766,27,28,"6.86596965789795+79.8630065917969","6.86580991744995+79.8621978759766"
"2",6.86580991744995,79.8621978759766,6.86598968505859,79.8621444702148,28,29,"6.86580991744995+79.8621978759766","6.86598968505859+79.8621444702148"
"2",6.86598968505859,79.8621444702148,6.86598968505859,79.8621444702148,29,30,"6.86598968505859+79.8621444702148","6.86598968505859+79.8621444702148"
"3",6.86598968505859,79.8621444702148,6.86675977706909,79.8619613647461,30,31,"6.86598968505859+79.8621444702148","6.86675977706909+79.8619613647461"
"3",6.86675977706909,79.8619613647461,6.86691999435425,79.8628005981445,31,32,"6.86675977706909+79.8619613647461","6.86691999435425+79.8628005981445"
"3",6.86691999435425,79.8628005981445,6.86795997619629,79.8625717163086,32,33,"6.86691999435425+79.8628005981445","6.86795997619629+79.8625717163086"
"3",6.86795997619629,79.8625717163086,6.86929988861084,79.8622741699219,33,34,"6.86795997619629+79.8625717163086","6.86929988861084+79.8622741699219"
"3",6.86929988861084,79.8622741699219,6.87055969238281,79.8620452880859,34,35,"6.86929988861084+79.8622741699219","6.87055969238281+79.8620452880859"
"3",6.87055969238281,79.8620452880859,6.8701696395874,79.8602752685547,35,36,"6.87055969238281+79.8620452880859","6.8701696395874+79.8602752685547"
"3",6.8701696395874,79.8602752685547,6.87011003494263,79.8599395751953,36,37,"6.8701696395874+79.8602752685547","6.87011003494263+79.8599395751953"
"3",6.87011003494263,79.8599395751953,6.87012004852295,79.8599014282227,37,38,"6.87011003494263+79.8599395751953","6.87012004852295+79.8599014282227"
"3",6.87012004852295,79.8599014282227,6.87021970748901,79.8598556518555,38,39,"6.87012004852295+79.8599014282227","6.87021970748901+79.8598556518555"
"3",6.87021970748901,79.8598556518555,6.87026977539062,79.8598175048828,39,40,"6.87021970748901+79.8598556518555","6.87026977539062+79.8598175048828"
"3",6.87026977539062,79.8598175048828,6.87017965316772,79.8593292236328,40,41,"6.87026977539062+79.8598175048828","6.87017965316772+79.8593292236328"
"3",6.87017965316772,79.8593292236328,6.87017965316772,79.8593292236328,41,42,"6.87017965316772+79.8593292236328","6.87017965316772+79.8593292236328"
"4",6.87017965316772,79.8593292236328,6.87026977539062,79.8598175048828,42,43,"6.87017965316772+79.8593292236328","6.87026977539062+79.8598175048828"
"4",6.87026977539062,79.8598175048828,6.87021970748901,79.8598556518555,43,44,"6.87026977539062+79.8598175048828","6.87021970748901+79.8598556518555"
"4",6.87021970748901,79.8598556518555,6.87012004852295,79.8599014282227,44,45,"6.87021970748901+79.8598556518555","6.87012004852295+79.8599014282227"
"4",6.87012004852295,79.8599014282227,6.87011003494263,79.8599395751953,45,46,"6.87012004852295+79.8599014282227","6.87011003494263+79.8599395751953"
"4",6.87011003494263,79.8599395751953,6.8701696395874,79.8602752685547,46,47,"6.87011003494263+79.8599395751953","6.8701696395874+79.8602752685547"
"4",6.8701696395874,79.8602752685547,6.87055969238281,79.8620452880859,47,48,"6.8701696395874+79.8602752685547","6.87055969238281+79.8620452880859"
"4",6.87055969238281,79.8620452880859,6.87130975723267,79.8619155883789,48,49,"6.87055969238281+79.8620452880859","6.87130975723267+79.8619155883789"
"4",6.87130975723267,79.8619155883789,6.87222003936768,79.8617553710938,49,50,"6.87130975723267+79.8619155883789","6.87222003936768+79.8617553710938"
"4",6.87222003936768,79.8617553710938,6.87262964248657,79.8616943359375,50,51,"6.87222003936768+79.8617553710938","6.87262964248657+79.8616943359375"
"4",6.87262964248657,79.8616943359375,6.87258005142212,79.861457824707,51,52,"6.87262964248657+79.8616943359375","6.87258005142212+79.861457824707"
"4",6.87258005142212,79.861457824707,6.87231969833374,79.8602600097656,52,53,"6.87258005142212+79.861457824707","6.87231969833374+79.8602600097656"
"4",6.87231969833374,79.8602600097656,6.87211990356445,79.8594207763672,53,54,"6.87231969833374+79.8602600097656","6.87211990356445+79.8594207763672"
"4",6.87211990356445,79.8594207763672,6.87210988998413,79.8593673706055,54,55,"6.87211990356445+79.8594207763672","6.87210988998413+79.8593673706055"
"4",6.87210988998413,79.8593673706055,6.87210988998413,79.8593673706055,55,56,"6.87210988998413+79.8593673706055","6.87210988998413+79.8593673706055"
"5",6.87210988998413,79.8593673706055,6.87236976623535,79.8604583740234,56,57,"6.87210988998413+79.8593673706055","6.87236976623535+79.8604583740234"
"5",6.87236976623535,79.8604583740234,6.87262964248657,79.8616943359375,57,58,"6.87236976623535+79.8604583740234","6.87262964248657+79.8616943359375"
"5",6.87262964248657,79.8616943359375,6.87363004684448,79.8615112304688,58,59,"6.87262964248657+79.8616943359375","6.87363004684448+79.8615112304688"
"5",6.87363004684448,79.8615112304688,6.8743896484375,79.8612442016602,59,60,"6.87363004684448+79.8615112304688","6.8743896484375+79.8612442016602"
"5",6.8743896484375,79.8612442016602,6.87491989135742,79.8610763549805,60,61,"6.8743896484375+79.8612442016602","6.87491989135742+79.8610763549805"
"5",6.87491989135742,79.8610763549805,6.87458992004395,79.8597717285156,61,62,"6.87491989135742+79.8610763549805","6.87458992004395+79.8597717285156"
"5",6.87458992004395,79.8597717285156,6.87458992004395,79.8597717285156,62,63,"6.87458992004395+79.8597717285156","6.87458992004395+79.8597717285156"
"6",6.87458992004395,79.8597717285156,6.87491989135742,79.8610763549805,63,64,"6.87458992004395+79.8597717285156","6.87491989135742+79.8610763549805"
